Dataset Name,Website Link,data file
DoD,https://www.acq.osd.mil/eie/eer/ecc/pfas/map/pfasmap.html ,https://www.acq.osd.mil/eie/eer/ecc/pfas/map/docs/final/Mather%20AFB%2020221017%20-%2020221027.pdf
EWG,https://www.ewg.org/interactive-maps/pfas_contamination/map/,https://docs.google.com/spreadsheets/d/1dvNMDK6n3nw2RgZadVGaZk2JweW0EiukIelDLsiefa4/edit?usp=drive_link
PPL,https://experience.arcgis.com/experience/12412ab41b3141598e0bb48523a7c940/page/Page-1/?views=Known-Contamination,https://docs.google.com/spreadsheets/d/1-LSXJbA_3M20n76y-FK0YLd1fml1uzJsoAkSWr2bz0A/edit#gid=2141223452
UCMR3,https://www.epa.gov/dwucmr/occurrence-data-unregulated-contaminant-monitoring-rule#3,https://www.epa.gov/system/files/other-files/2024-04/ucmr3-occurrence-data.zip
UCMR5,https://www.epa.gov/dwucmr/occurrence-data-unregulated-contaminant-monitoring-rule#3,https://www.epa.gov/system/files/other-files/2023-08/ucmr5-occurrence-data.zip
USGS,https://www.sciencebase.gov/catalog/item/60db3fe9d34e596d2ba5c8f7,https://docs.google.com/spreadsheets/d/17B4eZfMXErwC8Gc2JlCzIdJinYFMmzGX/edit?usp=drive_link&ouid=110505850797239939089&rtpof=true&sd=true
Alaska DEC,https://dec.alaska.gov/spar/csp/pfas/responses/,https://dot.alaska.gov/airportwater/fairbanks/
GAMA,https://data.ca.gov/dataset/ground-water-water-quality-results/resource/c7cd50a2-2a68-44a1-8d40-4e767f363964,https://data.ca.gov/dataset/81d1347c-891d-4f09-abc5-6eeb521b55d2/resource/c7cd50a2-2a68-44a1-8d40-4e767f363964/download/pfas.csv
NMED,https://www.env.nm.gov/public-record-request/,https://docs.google.com/spreadsheets/d/1J9ypRjNSFVYEJWWuKQKUp7aiKzZ8DmW_/edit?gid=1356189441#gid=1356189441
ADEQ,https://www.azdeq.gov/LAFB_PFAS,https://drive.google.com/file/d/1x3ESxbv5Wj20Zp6BQt17eU-7RQGvrw38/view?usp=sharing
CDPHE,https://cohealthviz.dphe.state.co.us/t/EnvironmentalEpidemiologyPublic/views/PFAS_results_DRAFT/Download?%3Adisplay_count=n&%3Aembed=y&%3AisGuestRedirect&%3AisGuestRedirectFromVizportal=y&%3Aorigin=viz_share_link&%3AshowAppBanner=false&%3AshowVizHome=n,https://drive.google.com/file/d/1Am-1b3pkLqNPrBDRMdSE9R6LPbFBLtCf/view
Maine DWP,https://www.maine.gov/dhhs/mecdc/environmental-health/dwp/pws/pfas.shtml#results,https://www.maine.gov/dhhs/mecdc/environmental-health/dwp/cet/documents/pfasResults.pdf
NMED,https://www.env.nm.gov/pfas/data/ ,https://www.env.nm.gov/wp-content/uploads/sites/21/2019/04/Alamogordo-Holloman-PFAS-sample-results.pdf 
DSHS,https://www.dshs.texas.gov/seafood-aquatic-life-group/information-on-consumption-advisories-possession-bans-rescinded-orders-seafood-aquatic-life/fishing-advisories-bans-faqs,https://www.dshs.texas.gov/sites/default/files/seafood/PDF2/Risk-Characterization/Lower%20Leon%20Creek%20Risk%20Characterization%20Addendum%202022.pdf
Virginia Department of Health Office of Drinking Water,https://www.deq.virginia.gov/get-involved/the-environment-you/per-and-polyfluoroalkyl-substances-pfas,https://docs.google.com/spreadsheets/d/1A41x30C88Fb_8qDEH6ffirQoFyN0JdiQ/edit?usp=sharing&ouid=110505850797239939089&rtpof=true&sd=true
RWRD,https://nwbiosolids.org/,https://static1.squarespace.com/static/54806478e4b0dc44e1698e88/t/5fad464a2bb93a1ea26a8e1a/1605191256895/PepperEtAl2020-PFAS-in-Biosolids_A-Southern-Arizona-Case-Study.pdf
